"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4211 Paralegal and related occupations,1010,55371,56295,
        4212 Social and community service workers,5730,44586,45287,
        4214 Early childhood educators and assistants,5165,25107,27119,
        4215 Instructors of persons with disabilities,210,28066,33551,
        4216 Other instructors,920,19836,37489,
        4217 Other religious occupations,290,30319,36462,
    43 Occupations in front-line public protection services,8535,81941,85796,
      431 Occupations in front-line public protection services,8535,81941,85796,
        4311 Police officers (except commissioned),3360,99358,95228,
        4312 Firefighters,1710,106752,102281,
        4313 Non-commissioned ranks of the Canadian Armed Forces,3460,70978,68479,
"    44 Care providers and educational, legal and public protection support occupations",14815,23913,30181,
      441 Home care providers and educational support occupations,12945,21348,23943,
        4411 Home child care providers,4570,15279,16788,
"        4412 Home support workers, housekeepers and related occupations",2750,28046,31422,
        4413 Elementary and secondary school teacher assistants,5625,25722,26109,
      442 Legal and public protection support occupations,1865,76765,73482,
        4421 Sheriffs and bailiffs,200,78948,74773,
        4422 Correctional service officers,1350,77376,75786,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",315,71166,62757,
"  5 Occupations in art, culture, recreation and sport",16990,22755,35909,
    51 Professional occupations in art and culture,5240,26770,38533,
"      511 Librarians, archivists, conservators and curators",585,70430,71398,
        5111 Librarians,430,75039,76078,
        5112 Conservators and curators,80,67244,58496,
        5113 Archivists,75,68755,57375,
"      512 Writing, translating and related communications professionals",1870,37634,44641,
        5121 Authors and writers,785,32148,42554,
        5122 Editors,490,40963,48738,
        5123 Journalists,325,61404,56623,
"        5125 Translators, terminologists and interpreters",260,21656,28021,
      513 Creative and performing artists,2790,14848,27544,
"        5131 Producers, directors, choreographers and related occupations",475,49598,55251,
"        5132 Conductors, composers and arrangers",75,19522,30018,
        5133 Musicians and singers,1185,12746,19668,
        5134 Dancers,365,12645,17684,
        5135 Actors and comedians,190,12938,18957,
"        5136 Painters, sculptors and other visual artists",500,13472,29878,
"    52 Technical occupations in art, culture, recreation and sport",11750,21703,34739,
"      521 Technical occupations in libraries, public archives, museums and art galleries",685,30817,32625,
        5211 Library and public archive technicians,460,37464,37342,
        5212 Technical occupations related to museums and art galleries,225,16911,22917,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1860,33662,41255,
        5221 Photographers,635,16388,25703,
        5222 Film and video camera operators,130,56123,49735,
        5223 Graphic arts technicians,140,53191,78688,
        5224 Broadcast technicians,65,72054,68861,
        5225 Audio and video recording technicians,370,33020,38151,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",365,48689,53901,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",165,26369,30745,
"      523 Announcers and other performers, n.e.c.",420,32003,45273,
        5231 Announcers and other broadcasters,205,51749,66797,
"        5232 Other performers, n.e.c.",220,18717,25219,
      524 Creative designers and craftspersons,3070,35774,40022,
        5241 Graphic designers and illustrators,1610,38751,43174,
        5242 Interior designers and interior decorators,695,40123,45517,
"        5243 Theatre, fashion, exhibit and other creative designers",355,27207,33266,
        5244 Artisans and craftspersons,400,15309,24486,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",5715,13280,29258,
        5251 Athletes,110,0,0,
        5252 Coaches,375,37223,43453,
        5253 Sports officials and referees,205,4240,8701,
"        5254 Program leaders and instructors in recreation, sport and fitness",5020,12804,20231,
  6 Sales and service occupations,169360,21461,31372,
    62 Retail sales supervisors and specialized sales occupations,15985,48924,63466,
      621 Retail sales supervisors,3035,31399,40057,
        6211 Retail sales supervisors,3030,31399,40057,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,5265,68668,81286,
        6221 Technical sales specialists - wholesale trade,3815,84542,96641,
        6222 Retail and wholesale buyers,1445,32596,40817,
"      623 Insurance, real estate and financial sales occupations",7690,48166,60498,
        6231 Insurance agents and brokers,2520,53125,67751,
        6232 Real estate agents and salespersons,2820,35150,54254,
        6235 Financial sales representatives,2350,49907,60213,
