"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4422 Correctional service officers,770,73309,68436,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",245,52149,50197,
"  5 Occupations in art, culture, recreation and sport",12670,12132,23741,
    51 Professional occupations in art and culture,4185,18064,30647,
"      511 Librarians, archivists, conservators and curators",450,58561,55874,
        5111 Librarians,295,62824,64781,
        5112 Conservators and curators,105,32765,37545,
        5113 Archivists,45,50329,41522,
"      512 Writing, translating and related communications professionals",1455,29623,34896,
        5121 Authors and writers,595,19658,33223,
        5122 Editors,335,33807,34328,
        5123 Journalists,320,36466,38344,
"        5125 Translators, terminologists and interpreters",205,29980,35262,
      513 Creative and performing artists,2280,10669,22966,
"        5131 Producers, directors, choreographers and related occupations",440,38571,44668,
"        5132 Conductors, composers and arrangers",110,16959,29912,
        5133 Musicians and singers,805,10121,19894,
        5134 Dancers,195,8161,11410,
        5135 Actors and comedians,145,5913,9826,
"        5136 Painters, sculptors and other visual artists",575,8176,16465,
"    52 Technical occupations in art, culture, recreation and sport",8480,10428,20334,
"      521 Technical occupations in libraries, public archives, museums and art galleries",985,15196,20971,
        5211 Library and public archive technicians,335,33899,30816,
        5212 Technical occupations related to museums and art galleries,660,10693,16012,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1255,25073,32150,
        5221 Photographers,350,10176,19205,
        5222 Film and video camera operators,160,27284,33300,
        5223 Graphic arts technicians,85,31008,34226,
        5224 Broadcast technicians,70,61752,58147,
        5225 Audio and video recording technicians,170,29405,35740,
