"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4163 Business development officers and marketing researchers and consultants,495,59972,59710,
"        4164 Social policy researchers, consultants and program officers",365,65727,64431,
"        4165 Health policy researchers, consultants and program officers",325,66346,60886,
"        4166 Education policy researchers, consultants and program officers",385,78993,72633,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",90,46787,47636,
        4168 Program officers unique to government,340,20814,36202,
"        4169 Other professional occupations in social science, n.e.c.",65,63100,53723,
"    42 Paraprofessional occupations in legal, social, community and education services",4075,27061,29924,
"      421 Paraprofessional occupations in legal, social, community and education services",4075,27061,29924,
        4211 Paralegal and related occupations,160,33965,33611,
        4212 Social and community service workers,1855,35875,35683,
        4214 Early childhood educators and assistants,1530,22257,22139,
        4215 Instructors of persons with disabilities,135,27685,32873,
        4216 Other instructors,295,20428,29345,
        4217 Other religious occupations,95,31783,34446,
    43 Occupations in front-line public protection services,2155,84335,79091,
      431 Occupations in front-line public protection services,2155,84335,79091,
        4311 Police officers (except commissioned),1045,95619,91573,
        4312 Firefighters,490,87414,93315,
        4313 Non-commissioned ranks of the Canadian Armed Forces,615,47638,46669,
"    44 Care providers and educational, legal and public protection support occupations",11285,16935,21155,
      441 Home care providers and educational support occupations,10715,16232,18923,
        4411 Home child care providers,1490,9009,11969,
"        4412 Home support workers, housekeepers and related occupations",8125,16758,19782,
        4413 Elementary and secondary school teacher assistants,1105,22171,21971,
      442 Legal and public protection support occupations,570,65259,63025,
        4421 Sheriffs and bailiffs,75,58394,62298,
        4422 Correctional service officers,350,74438,68136,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",145,56757,51268,
"  5 Occupations in art, culture, recreation and sport",5805,11989,22241,
    51 Professional occupations in art and culture,1725,19187,30758,
"      511 Librarians, archivists, conservators and curators",235,54655,53196,
        5111 Librarians,185,54730,55315,
        5112 Conservators and curators,20,0,0,
        5113 Archivists,35,65302,54553,
"      512 Writing, translating and related communications professionals",395,33276,35145,
        5121 Authors and writers,150,25116,32843,
        5122 Editors,75,40456,32521,
        5123 Journalists,95,39242,43680,
"        5125 Translators, terminologists and interpreters",70,25166,31627,
      513 Creative and performing artists,1090,14458,24338,
"        5131 Producers, directors, choreographers and related occupations",160,55293,58308,
"        5132 Conductors, composers and arrangers",30,0,0,
        5133 Musicians and singers,465,15049,20727,
        5134 Dancers,100,10483,14278,
        5135 Actors and comedians,145,5695,8817,
"        5136 Painters, sculptors and other visual artists",195,10768,19898,
"    52 Technical occupations in art, culture, recreation and sport",4085,9266,18648,
"      521 Technical occupations in libraries, public archives, museums and art galleries",495,9359,18721,
        5211 Library and public archive technicians,120,35675,35619,
        5212 Technical occupations related to museums and art galleries,375,5765,13393,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",450,28382,34679,
        5221 Photographers,120,19749,23559,
        5222 Film and video camera operators,25,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,50,59762,50079,
        5225 Audio and video recording technicians,55,30177,34812,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",110,40489,40048,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",85,16845,28646,
"      523 Announcers and other performers, n.e.c.",135,28843,35190,
        5231 Announcers and other broadcasters,100,36842,42113,
"        5232 Other performers, n.e.c.",40,0,0,
      524 Creative designers and craftspersons,700,28098,26216,
        5241 Graphic designers and illustrators,365,34698,34076,
        5242 Interior designers and interior decorators,115,25954,26594,
"        5243 Theatre, fashion, exhibit and other creative designers",70,7488,14598,
        5244 Artisans and craftspersons,150,9626,12176,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",2300,5650,12190,
        5251 Athletes,40,0,0,
        5252 Coaches,105,9531,13247,
        5253 Sports officials and referees,55,3692,4883,
"        5254 Program leaders and instructors in recreation, sport and fitness",2105,5549,11645,
  6 Sales and service occupations,61715,17491,24365,
    62 Retail sales supervisors and specialized sales occupations,4045,37771,48634,
      621 Retail sales supervisors,945,26517,27576,
        6211 Retail sales supervisors,945,26517,27576,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1200,44109,55511,
        6221 Technical sales specialists - wholesale trade,595,62605,72013,
        6222 Retail and wholesale buyers,600,29388,39264,
"      623 Insurance, real estate and financial sales occupations",1905,42631,54804,
        6231 Insurance agents and brokers,765,41733,49978,
        6232 Real estate agents and salespersons,575,43176,66499,
        6235 Financial sales representatives,560,43452,49333,
    63 Service supervisors and specialized service occupations,8550,21427,26402,
      631 Service supervisors,1220,26290,33651,
        6311 Food service supervisors,785,22890,25145,
        6312 Executive housekeepers,35,32753,33856,
"        6313 Accommodation, travel, tourism and related services supervisors",30,0,53294,
        6314 Customer and information services supervisors,95,36812,45614,
        6315 Cleaning supervisors,80,56620,67064,
        6316 Other services supervisors,195,42801,45379,
      632 Chefs and cooks,4330,19347,26204,
