"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      621 Retail sales supervisors,685,26608,29929,
        6211 Retail sales supervisors,685,26608,29929,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,590,38232,56793,
        6221 Technical sales specialists - wholesale trade,300,63316,77786,
        6222 Retail and wholesale buyers,290,26748,35020,
"      623 Insurance, real estate and financial sales occupations",1180,45163,50533,
        6231 Insurance agents and brokers,375,49866,57685,
        6232 Real estate agents and salespersons,520,38024,48157,
        6235 Financial sales representatives,285,43196,45528,
    63 Service supervisors and specialized service occupations,5695,20260,24563,
      631 Service supervisors,1045,31490,37348,
        6311 Food service supervisors,370,21381,22436,
        6312 Executive housekeepers,30,45590,41763,
"        6313 Accommodation, travel, tourism and related services supervisors",95,73949,55728,
        6314 Customer and information services supervisors,110,44978,46904,
        6315 Cleaning supervisors,175,37811,40456,
        6316 Other services supervisors,260,41447,45117,
      632 Chefs and cooks,2760,18614,21857,
        6321 Chefs,450,25805,29928,
        6322 Cooks,2310,17435,20290,
      633 Butchers and bakers,615,18825,23302,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",280,30675,30835,
        6332 Bakers,335,10731,16932,
      634 Specialized occupations in personal and customer services,1275,17054,20566,
        6341 Hairstylists and barbers,1040,15997,19801,
"        6342 Tailors, dressmakers, furriers and milliners",100,14788,16448,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,30,0,0,
        6346 Funeral directors and embalmers,65,39367,43615,
    64 Sales representatives and salespersons - wholesale and retail trade,6640,15734,22824,
      641 Sales and account representatives - wholesale trade (non-technical),660,46126,51383,
        6411 Sales and account representatives - wholesale trade (non-technical),660,46126,51383,
      642 Retail salespersons,5975,14249,19670,
        6421 Retail salespersons,5975,14249,19670,
    65 Service representatives and other customer and personal services occupations,9650,23273,27659,
      651 Occupations in food and beverage service,3060,14554,17356,
        6511 Maîtres d'hôtel and hosts/hostesses,305,8207,12033,
        6512 Bartenders,425,16278,18122,
        6513 Food and beverage servers,2325,15078,17918,
      652 Occupations in travel and accommodation,460,30625,30594,
        6521 Travel counsellors,150,39444,32924,
        6522 Pursers and flight attendants,50,34449,35748,
