"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
    62 Retail sales supervisors and specialized sales occupations,180020,42670,59830,
      621 Retail sales supervisors,24135,28089,35185,
        6211 Retail sales supervisors,24135,28089,35185,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,51800,55744,74136,
        6221 Technical sales specialists - wholesale trade,35440,70203,88601,
        6222 Retail and wholesale buyers,16355,30797,42800,
"      623 Insurance, real estate and financial sales occupations",104080,42455,58425,
        6231 Insurance agents and brokers,27775,48252,61131,
        6232 Real estate agents and salespersons,46360,29844,52378,
        6235 Financial sales representatives,29945,46572,65276,
    63 Service supervisors and specialized service occupations,201100,20357,24706,
      631 Service supervisors,34305,29659,36166,
        6311 Food service supervisors,15770,22991,25553,
        6312 Executive housekeepers,1155,35527,38489,
"        6313 Accommodation, travel, tourism and related services supervisors",1855,46707,49008,
        6314 Customer and information services supervisors,4860,47707,52391,
        6315 Cleaning supervisors,4485,44345,45156,
        6316 Other services supervisors,6180,34350,39674,
      632 Chefs and cooks,97740,18287,21977,
        6321 Chefs,26630,25738,29363,
        6322 Cooks,71110,16161,19211,
      633 Butchers and bakers,22150,21493,23733,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",4905,28760,30280,
        6332 Bakers,17245,19923,21871,
