"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      621 Retail sales supervisors,190,22473,23815,
        6211 Retail sales supervisors,195,22473,23815,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,205,38148,41605,
        6221 Technical sales specialists - wholesale trade,120,41696,50489,
        6222 Retail and wholesale buyers,85,19669,28905,
"      623 Insurance, real estate and financial sales occupations",480,40279,50615,
        6231 Insurance agents and brokers,160,40422,61015,
        6232 Real estate agents and salespersons,205,37131,44383,
        6235 Financial sales representatives,115,40617,47112,
    63 Service supervisors and specialized service occupations,1535,18345,21098,
      631 Service supervisors,275,23404,24909,
        6311 Food service supervisors,145,22034,21137,
        6312 Executive housekeepers,0,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",0,0,0,
        6314 Customer and information services supervisors,70,33145,31892,
        6315 Cleaning supervisors,30,0,0,
        6316 Other services supervisors,25,0,29018,
      632 Chefs and cooks,755,15235,19129,
        6321 Chefs,65,26289,32559,
        6322 Cooks,685,14483,17799,
      633 Butchers and bakers,120,17677,21074,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",20,0,0,
        6332 Bakers,100,17786,21649,
      634 Specialized occupations in personal and customer services,385,21333,22237,
        6341 Hairstylists and barbers,315,21467,22157,
"        6342 Tailors, dressmakers, furriers and milliners",45,0,0,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,15,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,2190,17441,24664,
      641 Sales and account representatives - wholesale trade (non-technical),200,54939,51485,
        6411 Sales and account representatives - wholesale trade (non-technical),195,54939,51485,
      642 Retail salespersons,1990,16452,22006,
        6421 Retail salespersons,1990,16452,22006,
    65 Service representatives and other customer and personal services occupations,2740,17933,20656,
      651 Occupations in food and beverage service,595,11927,14536,
        6511 Maîtres d'hôtel and hosts/hostesses,60,10658,14204,
        6512 Bartenders,90,9191,10921,
        6513 Food and beverage servers,450,12546,15293,
      652 Occupations in travel and accommodation,125,29717,31211,
        6521 Travel counsellors,20,0,0,
        6522 Pursers and flight attendants,25,0,0,
        6523 Airline ticket and service agents,10,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,75,25705,23112,
      653 Tourism and amusement services occupations,10,0,0,
        6531 Tour and travel guides,0,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,340,22987,23592,
        6541 Security guards and related security service occupations,340,22987,23592,
      655 Customer and information services representatives,1400,21739,22648,
        6551 Customer services representatives - financial institutions,165,23914,24155,
        6552 Other customer and information services representatives,1235,21293,22450,
      656 Other occupations in personal service,260,11911,15025,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",140,10611,13558,
        6563 Pet groomers and animal care workers,110,12626,16507,
        6564 Other personal service occupations,10,0,0,
