"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6316 Other services supervisors,370,32844,36387,
      632 Chefs and cooks,6490,18148,20783,
        6321 Chefs,1250,26324,29489,
        6322 Cooks,5245,16631,18706,
      633 Butchers and bakers,1270,22828,24966,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",305,33154,31233,
        6332 Bakers,970,20399,23014,
      634 Specialized occupations in personal and customer services,2955,21152,23902,
        6341 Hairstylists and barbers,2185,20183,22379,
"        6342 Tailors, dressmakers, furriers and milliners",380,22390,21629,
        6343 Shoe repairers and shoemakers,25,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",70,18644,27407,
        6345 Upholsterers,185,33812,32956,
        6346 Funeral directors and embalmers,110,46618,44142,
    64 Sales representatives and salespersons - wholesale and retail trade,18360,19880,29369,
      641 Sales and account representatives - wholesale trade (non-technical),2850,53610,60605,
        6411 Sales and account representatives - wholesale trade (non-technical),2850,53610,60605,
      642 Retail salespersons,15505,16336,23622,
        6421 Retail salespersons,15505,16336,23622,
    65 Service representatives and other customer and personal services occupations,22940,19731,24557,
      651 Occupations in food and beverage service,8025,11541,13216,
        6511 Maîtres d'hôtel and hosts/hostesses,845,6972,8256,
        6512 Bartenders,1215,15306,17054,
        6513 Food and beverage servers,5955,11600,13135,
      652 Occupations in travel and accommodation,1785,31163,36949,
        6521 Travel counsellors,435,33412,44772,
        6522 Pursers and flight attendants,290,39672,42328,
        6523 Airline ticket and service agents,410,44631,42121,
