"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Brantford [1],,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",30,0,0,
        4168 Program officers unique to government,50,0,0,
"        4169 Other professional occupations in social science, n.e.c.",20,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1575,35477,35121,
"      421 Paraprofessional occupations in legal, social, community and education services",1580,35477,35121,
        4211 Paralegal and related occupations,95,43189,44384,
        4212 Social and community service workers,765,41936,40136,
        4214 Early childhood educators and assistants,565,27259,27242,
        4215 Instructors of persons with disabilities,65,45177,45988,
        4216 Other instructors,45,15237,23232,
        4217 Other religious occupations,45,15707,25004,
    43 Occupations in front-line public protection services,495,99965,94756,
      431 Occupations in front-line public protection services,495,99965,94756,
        4311 Police officers (except commissioned),275,104248,103910,
        4312 Firefighters,195,96366,88264,
        4313 Non-commissioned ranks of the Canadian Armed Forces,25,0,0,
"    44 Care providers and educational, legal and public protection support occupations",1160,27903,29464,
      441 Home care providers and educational support occupations,1025,24659,25303,
        4411 Home child care providers,195,10356,14029,
"        4412 Home support workers, housekeepers and related occupations",325,28497,26744,
        4413 Elementary and secondary school teacher assistants,505,29930,28756,
      442 Legal and public protection support occupations,135,68336,60946,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,75,71096,60940,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",50,66188,64728,
"  5 Occupations in art, culture, recreation and sport",1530,15004,23597,
    51 Professional occupations in art and culture,410,16564,26174,
"      511 Librarians, archivists, conservators and curators",40,53765,45534,
        5111 Librarians,30,0,48689,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",120,33296,41182,
        5121 Authors and writers,40,58374,58979,
        5122 Editors,30,0,0,
        5123 Journalists,20,0,0,
"        5125 Translators, terminologists and interpreters",30,0,0,
      513 Creative and performing artists,250,10269,15897,
"        5131 Producers, directors, choreographers and related occupations",15,0,0,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,130,8507,13463,
        5134 Dancers,50,13889,17191,
        5135 Actors and comedians,20,0,0,
"        5136 Painters, sculptors and other visual artists",40,0,0,
"    52 Technical occupations in art, culture, recreation and sport",1125,13949,22655,
"      521 Technical occupations in libraries, public archives, museums and art galleries",80,43841,37671,
        5211 Library and public archive technicians,55,36707,38783,
        5212 Technical occupations related to museums and art galleries,30,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",140,16748,26981,
        5221 Photographers,60,7988,10590,
        5222 Film and video camera operators,0,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,20,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",30,46832,50274,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10,0,0,
"      523 Announcers and other performers, n.e.c.",55,0,0,
        5231 Announcers and other broadcasters,30,0,0,
"        5232 Other performers, n.e.c.",25,0,0,
      524 Creative designers and craftspersons,335,25253,29329,
        5241 Graphic designers and illustrators,185,33325,34513,
        5242 Interior designers and interior decorators,75,23243,28296,
"        5243 Theatre, fashion, exhibit and other creative designers",35,0,0,
        5244 Artisans and craftspersons,40,21559,21001,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",510,8485,14675,
        5251 Athletes,10,0,0,
        5252 Coaches,35,0,0,
        5253 Sports officials and referees,25,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",450,8341,13492,
  6 Sales and service occupations,16595,16676,24812,
    62 Retail sales supervisors and specialized sales occupations,1335,42361,52489,
      621 Retail sales supervisors,325,25239,32989,
        6211 Retail sales supervisors,325,25239,32989,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,455,52260,63539,
        6221 Technical sales specialists - wholesale trade,335,59198,74754,
        6222 Retail and wholesale buyers,115,23780,31285,
"      623 Insurance, real estate and financial sales occupations",560,47151,54830,
        6231 Insurance agents and brokers,165,51419,60827,
        6232 Real estate agents and salespersons,255,37834,49241,
        6235 Financial sales representatives,140,48225,57991,
    63 Service supervisors and specialized service occupations,2250,20297,23388,
      631 Service supervisors,505,28095,35281,
        6311 Food service supervisors,270,23053,23488,
        6312 Executive housekeepers,10,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",90,50785,53759,
        6314 Customer and information services supervisors,30,0,48965,
        6315 Cleaning supervisors,50,40630,43529,
        6316 Other services supervisors,60,42663,46820,
      632 Chefs and cooks,985,14258,18293,
        6321 Chefs,160,30338,27740,
        6322 Cooks,825,12945,16463,
      633 Butchers and bakers,255,21788,25898,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",35,34988,38037,
        6332 Bakers,220,20605,24041,
      634 Specialized occupations in personal and customer services,505,16999,20168,
        6341 Hairstylists and barbers,400,16186,18286,
"        6342 Tailors, dressmakers, furriers and milliners",55,16389,15342,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,0,0,0,
        6346 Funeral directors and embalmers,35,46995,50490,
    64 Sales representatives and salespersons - wholesale and retail trade,3070,18587,29270,
      641 Sales and account representatives - wholesale trade (non-technical),445,58789,61520,
        6411 Sales and account representatives - wholesale trade (non-technical),445,58789,61520,
      642 Retail salespersons,2620,16265,23789,
        6421 Retail salespersons,2625,16265,23789,
    65 Service representatives and other customer and personal services occupations,3210,19279,25306,
      651 Occupations in food and beverage service,1050,9537,11667,
        6511 Maîtres d'hôtel and hosts/hostesses,180,4716,6623,
        6512 Bartenders,190,14108,14906,
        6513 Food and beverage servers,675,10244,12091,
      652 Occupations in travel and accommodation,155,27683,32389,
        6521 Travel counsellors,60,24239,31706,
        6522 Pursers and flight attendants,50,43918,46013,
        6523 Airline ticket and service agents,0,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,45,21604,21130,
      653 Tourism and amusement services occupations,290,44132,40246,
        6531 Tour and travel guides,0,0,0,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,285,44202,41228,
