"","occupation","employment","median.income","mean.income","geography"
"34925","        5125 Translators, terminologists and interpreters","160","79360","68876","Nunavut [1]"
"35025","      513 Creative and performing artists","40","18368","32257","Nunavut [1]"
"35129","        5131 Producers, directors, choreographers and related occupations","15","52352","53316","Nunavut [1]"
"35227","        5132 Conductors, composers and arrangers","0","0","0","Nunavut [1]"
"35325","        5133 Musicians and singers","0","0","0","Nunavut [1]"
"35425","        5134 Dancers","0","0","0","Nunavut [1]"
"35525","        5135 Actors and comedians","10","0","0","Nunavut [1]"
"35625","        5136 Painters, sculptors and other visual artists","15","0","0","Nunavut [1]"
"35725","    52 Technical occupations in art, culture, recreation and sport","265","8992","27533","Nunavut [1]"
"35825","      521 Technical occupations in libraries, public archives, museums and art galleries","10","17088","52652","Nunavut [1]"
"35925","        5211 Library and public archive technicians","10","0","0","Nunavut [1]"
"36025","        5212 Technical occupations related to museums and art galleries","10","0","0","Nunavut [1]"
"36129","      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","25","40576","53582","Nunavut [1]"
"36227","        5221 Photographers","0","0","0","Nunavut [1]"
"36325","        5222 Film and video camera operators","10","0","0","Nunavut [1]"
"36425","        5223 Graphic arts technicians","0","0","0","Nunavut [1]"
"36525","        5224 Broadcast technicians","0","0","0","Nunavut [1]"
"36625","        5225 Audio and video recording technicians","10","0","0","Nunavut [1]"
"36725","        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","10","0","0","Nunavut [1]"
"36825","        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts","0","0","0","Nunavut [1]"
"36925","      523 Announcers and other performers, n.e.c.","50","9184","27496","Nunavut [1]"
"37025","        5231 Announcers and other broadcasters","50","9184","27496","Nunavut [1]"
"37129","        5232 Other performers, n.e.c.","0","0","0","Nunavut [1]"
"37227","      524 Creative designers and craftspersons","80","8368","28726","Nunavut [1]"
"37325","        5241 Graphic designers and illustrators","10","68224","66303","Nunavut [1]"
"37425","        5242 Interior designers and interior decorators","0","0","0","Nunavut [1]"
"37525","        5243 Theatre, fashion, exhibit and other creative designers","10","0","0","Nunavut [1]"
"37625","        5244 Artisans and craftspersons","65","4640","19771","Nunavut [1]"
"37725","        5245 Patternmakers - textile, leather and fur products","0","0","0","Nunavut [1]"
"37825","      525 Athletes, coaches, referees and related occupations","95","6192","16468","Nunavut [1]"
"37925","        5251 Athletes","0","0","0","Nunavut [1]"
"38025","        5252 Coaches","0","0","0","Nunavut [1]"
"38129","        5253 Sports officials and referees","0","0","0","Nunavut [1]"
"38227","        5254 Program leaders and instructors in recreation, sport and fitness","95","6736","16790","Nunavut [1]"
"38325","  6 Sales and service occupations","3840","12616","25525","Nunavut [1]"
"38425","    62 Retail sales supervisors and specialized sales occupations","75","31637","41697","Nunavut [1]"
"38525","      621 Retail sales supervisors","50","28224","34889","Nunavut [1]"
"38625","        6211 Retail sales supervisors","55","28224","34889","Nunavut [1]"
"38725","      622 Technical sales specialists in wholesale trade and retail and wholesale buyers","10","0","0","Nunavut [1]"
"38825","        6221 Technical sales specialists - wholesale trade","0","0","0","Nunavut [1]"
"38925","        6222 Retail and wholesale buyers","0","0","0","Nunavut [1]"
"39025","      623 Insurance, real estate and financial sales occupations","15","53632","62499","Nunavut [1]"
"39129","        6231 Insurance agents and brokers","10","0","0","Nunavut [1]"
"39227","        6232 Real estate agents and salespersons","0","0","0","Nunavut [1]"
"39325","        6235 Financial sales representatives","10","50624","58815","Nunavut [1]"
"39425","    63 Service supervisors and specialized service occupations","355","16672","30132","Nunavut [1]"
"39525","      631 Service supervisors","55","20160","39003","Nunavut [1]"
"39625","        6311 Food service supervisors","10","0","0","Nunavut [1]"
"39725","        6312 Executive housekeepers","0","0","0","Nunavut [1]"
"39825","        6313 Accommodation, travel, tourism and related services supervisors","10","0","0","Nunavut [1]"
"39925","        6314 Customer and information services supervisors","0","0","0","Nunavut [1]"
"40025","        6315 Cleaning supervisors","10","62080","63630","Nunavut [1]"
"40129","        6316 Other services supervisors","25","17728","29150","Nunavut [1]"
"40227","      632 Chefs and cooks","235","16064","30353","Nunavut [1]"
"40325","        6321 Chefs","25","55040","58697","Nunavut [1]"
"40425","        6322 Cooks","210","14720","27144","Nunavut [1]"
"40525","      633 Butchers and bakers","25","22976","25768","Nunavut [1]"
"40625","        6331 Butchers, meat cutters and fishmongers - retail and wholesale","15","18816","19407","Nunavut [1]"
"40725","        6332 Bakers","15","32704","33189","Nunavut [1]"
"40825","      634 Specialized occupations in personal and customer services","40","4272","18125","Nunavut [1]"
"40925","        6341 Hairstylists and barbers","10","0","0","Nunavut [1]"
"41025","        6342 Tailors, dressmakers, furriers and milliners","25","3976","19108","Nunavut [1]"
"41129","        6343 Shoe repairers and shoemakers","0","0","0","Nunavut [1]"
"41227","        6344 Jewellers, jewellery and watch repairers and related occupations","10","0","0","Nunavut [1]"
"41325","        6345 Upholsterers","0","0","0","Nunavut [1]"
"41425","        6346 Funeral directors and embalmers","0","0","0","Nunavut [1]"
"41525","    64 Sales representatives and salespersons - wholesale and retail trade","110","14304","24365","Nunavut [1]"
"41625","      641 Sales and account representatives - wholesale trade (non-technical)","10","0","0","Nunavut [1]"
"41725","        6411 Sales and account representatives - wholesale trade (non-technical)","0","0","0","Nunavut [1]"
"41825","      642 Retail salespersons","105","14304","23022","Nunavut [1]"
"41925","        6421 Retail salespersons","100","14304","23022","Nunavut [1]"
"42025","    65 Service representatives and other customer and personal services occupations","560","23189","33671","Nunavut [1]"
"42129","      651 Occupations in food and beverage service","90","9184","19185","Nunavut [1]"
"42227","        6511 Maîtres d'hôtel and hosts/hostesses","0","0","0","Nunavut [1]"
"42325","        6512 Bartenders","15","25088","26988","Nunavut [1]"
"42425","        6513 Food and beverage servers","75","8480","18381","Nunavut [1]"
"42525","      652 Occupations in travel and accommodation","185","33408","43021","Nunavut [1]"
"42625","        6521 Travel counsellors","30","62848","69898","Nunavut [1]"
"42725","        6522 Pursers and flight attendants","0","0","0","Nunavut [1]"
"42825","        6523 Airline ticket and service agents","130","30592","39302","Nunavut [1]"
"42925","        6524 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0","Nunavut [1]"
"43025","        6525 Hotel front desk clerks","20","18848","23974","Nunavut [1]"
"43129","      653 Tourism and amusement services occupations","45","9931","11159","Nunavut [1]"
"43227","        6531 Tour and travel guides","10","0","0","Nunavut [1]"
"43325","        6532 Outdoor sport and recreational guides","40","9440","11061","Nunavut [1]"
"43425","        6533 Casino occupations","0","0","0","Nunavut [1]"
"43525","      654 Security guards and related security service occupations","185","21632","32591","Nunavut [1]"
"43625","        6541 Security guards and related security service occupations","185","21632","32591","Nunavut [1]"
"43725","      655 Customer and information services representatives","50","40320","52305","Nunavut [1]"
"43825","        6551 Customer services representatives - financial institutions","20","45440","47868","Nunavut [1]"
"43925","        6552 Other customer and information services representatives","25","35904","55671","Nunavut [1]"
"44025","      656 Other occupations in personal service","10","0","0","Nunavut [1]"
"44129","        6561 Image, social and other personal consultants","0","0","0","Nunavut [1]"
"44227","        6562 Estheticians, electrologists and related occupations","0","0","0","Nunavut [1]"
"44325","        6563 Pet groomers and animal care workers","10","0","0","Nunavut [1]"
"44425","        6564 Other personal service occupations","0","0","0","Nunavut [1]"
"44525","    66 Sales support occupations","1265","7035","11816","Nunavut [1]"
